"vocabularyName","value","parent","displayValue","displayValueDescription"
"faunaGroup","Whipbirds, Wedgebills, Quali-Thrushes","Bush Birds","Whipbirds, Wedgebills, Quali-Thrushes","Whipbirds, Wedgebills, Quali-thrushes,,"
"faunaGroup","Whistlers, Shrike-Thrushes","Bush Birds","Whistlers, Shrike-Thrushes","Whistlers, Shrike-thrushes,,"
"faunaGroup","White-Eyes, Silvereye","Bush Birds","White-Eyes, Silvereye","White-eyes, Silvereye,,"
"faunaGroup","Woodswallows, Butcherbirds, Magpie-Lark, Magpie, Currawongs","Bush Birds","Woodswallows, Butcherbirds, Magpie-Lark, Magpie, Currawongs","Woodswallows, Butcherbirds, Magpie-lark, Magpie, Currawongs,,"
"faunaGroup","Nightbirds","Birds","Nightbirds","Nightbirds,,"
"faunaGroup","Parrots","Birds","Parrots","Parrots,,"
"faunaGroup","Pigeons, Doves","Birds","Pigeons, Doves","Pigeons, Doves,,"
"faunaGroup","Seabirds","Birds","Seabirds","Seabirds,,"
"faunaGroup","Waterbirds","Birds","Waterbirds","Waterbirds,,"
"faunaGroup","Freshwater Fish ",,"Freshwater Fish ","Freshwater Fish ,,"
"faunaGroup","Frogs",,"Frogs","Frogs,,"
"faunaGroup","Ground Frogs","Frogs","Ground Frogs","Ground Frogs,,"
"faunaGroup","Microhylids","Frogs","Microhylids","Microhylids,,"
"faunaGroup","Stream Frogs","Frogs","Stream Frogs","Stream Frogs,,"
"faunaGroup","Tree Frogs","Frogs","Tree Frogs","Tree Frogs,,"
"faunaGroup","Invertebrates",,"Invertebrates","Invertebrates,,"
"faunaGroup","Centipedes/Millipedes","Invertebrates","Centipedes/Millipedes","Centipedes/Millipedes,,"
"faunaGroup","Crabs, Shrimps ,Crayfish, Woodlice","Invertebrates","Crabs, Shrimps ,Crayfish, Woodlice","Crabs, Shrimps ,Crayfish, Woodlice,,"
"faunaGroup","Gastropods - Snails, Slugs","Invertebrates","Gastropods - Snails, Slugs","Gastropods - Snails, Slugs,,"
"faunaGroup","Insects","Invertebrates","Insects","Insects,,"
"faunaGroup","Apterygota","Insects","Apterygota","Apterygota,,"
"faunaGroup","Endopterygota - Ants, Bees, Beetles, Butterflies, Flies, Fleas etc","Insects","Endopterygota - Ants, Bees, Beetles, Butterflies, Flies, Fleas etc","Endopterygota - Ants, Bees, Beetles, Butterflies, Flies, Fleas etc,,"
"faunaGroup","Exopterygota - Cockroaches, Grasshoppers, Lice, Locusts, Stick Insects, Termites etc ","Insects","Exopterygota - Cockroaches, Grasshoppers, Lice, Locusts, Stick Insects, Termites etc ","Exopterygota - Cockroaches, Grasshoppers, Lice, Locusts, Stick Insects, Termites etc ,,"
"faunaGroup","Odonata - Dragonflies, Mayflies","Insects","Odonata - Dragonflies, Mayflies","Odonata - Dragonflies, Mayflies,,"
"faunaGroup","Molluscs","Invertebrates","Molluscs","Molluscs,,"
"faunaGroup","Spiders","Invertebrates","Spiders","Spiders,,"
"faunaGroup","Modern Spiders","Spiders","Modern Spiders","Modern Spiders,,"
"faunaGroup","Primitive Spiders","Spiders","Primitive Spiders","Primitive Spiders,,"
"faunaGroup","Worms","Invertebrates","Worms","Worms,,"
"faunaGroup","Zooplankton","Invertebrates","Zooplankton","Zooplankton,,"
"faunaGroup","Mammals",,"Mammals","Mammals,,"
"faunaGroup","Introduced Species","Mammals","Introduced Species","Introduced Species,,"
"faunaGroup","Brumbys","Introduced Species","Brumbys","Brumbys,,"
"faunaGroup","Buffalo","Introduced Species","Buffalo","Buffalo,,`"
"faunaGroup","Camels","Introduced Species","Camels","Camels,,"
"faunaGroup","Deer","Introduced Species","Deer","Deer,,"
"faunaGroup","Dingoes","Introduced Species","Dingoes","Dingoes,,"
"faunaGroup","Donkeys","Introduced Species","Donkeys","Donkeys,,"
"faunaGroup","Feral Cats","Introduced Species","Feral Cats","Feral Cats,,"
"faunaGroup","Feral Dogs","Introduced Species","Feral Dogs","Feral Dogs,,"
"faunaGroup","Feral Goats","Introduced Species","Feral Goats","Feral Goats,,"
"faunaGroup","Feral Pigs","Introduced Species","Feral Pigs","Feral Pigs,,"
"faunaGroup","Foxes","Introduced Species","Foxes","Foxes,,"
"faunaGroup","Freshwater Fish","Introduced Species","Freshwater Fish","Freshwater Fish,,"
"faunaGroup","Invasive Birds","Introduced Species","Invasive Birds","Invasive Birds,,"
"faunaGroup","Rabbits, Hares","Introduced Species","Rabbits, Hares","Rabbits, Hares,,"
"faunaGroup","Rats, Mice","Introduced Species","Rats, Mice","Rats, Mice,,"
"faunaGroup","Marsupials","Mammals","Marsupials","Marsupials,,"
"faunaGroup","Bandicoots","Marsupials","Bandicoots","Bandicoots,,"
"faunaGroup","Dasyuridae","Marsupials","Dasyuridae","Dasyuridae,,"
"faunaGroup","Gliders, Ringtails","Marsupials","Gliders, Ringtails","Gliders, Ringtails,,"
"faunaGroup","Kangaroo's, Wallabies","Marsupials","Kangaroo's, Wallabies","Kangaroo's, Wallabies,,"
"faunaGroup","Koalas","Marsupials","Koalas","Koalas,,"
"faunaGroup","Marsupial Moles","Marsupials","Marsupial Moles","Marsupial Moles,,"
"faunaGroup","Possums","Marsupials","Possums","Possums,,"
"faunaGroup","Wombats","Marsupials","Wombats","Wombats,,"
"faunaGroup","Monotremes","Mammals","Monotremes","Monotremes,,"
"faunaGroup","Echidna","Monotremes","Echidna","Echidna,,"
"faunaGroup","Platypus","Monotremes","Platypus","Platypus,,"
"faunaGroup","Placentals","Mammals","Placentals","Placentals,,"
"faunaGroup","Native Bats","Placentals","Native Bats","Native Bats,,"
"faunaGroup","Native Rodents","Placentals","Native Rodents","Native Rodents,,"
"faunaGroup","Other",,"Other","Other,,"
"faunaGroup","Reptiles",,"Reptiles","Reptiles,,"
"faunaGroup","Crocodiles","Reptiles","Crocodiles","Crocodiles,,"
"faunaGroup","Lizards","Reptiles","Lizards","Lizards,,"
"faunaGroup","Snakes","Reptiles","Snakes","Snakes,,"
"faunaGroup","Turtles","Reptiles","Turtles","Turtles,,"
"faunaTechnique","Area Sampling ",,"Area Sampling ","Area sampling ,,"
"faunaTechnique","Behaviour",,"Behaviour","Behaviour,,"
"faunaTechnique","Call Playback",,"Call Playback","Call Playback,,"
"faunaTechnique","Clam Rake",,"Clam Rake","Clam Rake,,"
"faunaTechnique","Distance Sampling",,"Distance Sampling","Distance Sampling,,"
"faunaTechnique","Electroshocking",,"Electroshocking","Electroshocking,,"
"faunaTechnique","Grab Sampling",,"Grab Sampling","Grab Sampling,,"
"faunaTechnique","Hair/Track/Dung Sampling",,"Hair/Track/Dung Sampling","Hair/Track/Dung Sampling,,"
"faunaTechnique","Marking/Tagging",,"Marking/Tagging","Marking/Tagging,,"
"faunaTechnique","Nest Survey",,"Nest Survey","Nest Survey,,"
"faunaTechnique","Netting",,"Netting","Netting,,"
"faunaTechnique","None",,"None","None,,"
"faunaTechnique","Other",,"Other","Other,,"
"faunaTechnique","Point-Centred Sampling",,"Point-Centred Sampling","Point-centred Sampling,,"
"faunaTechnique","Radiotelemetry",,"Radiotelemetry","Radiotelemetry,,"
"faunaTechnique","Surber Sampling",,"Surber Sampling","Surber Sampling,,"
"faunaTechnique","Trapping Arrays",,"Trapping Arrays","Trapping Arrays,,"
"faunaTechnique","Visual Surveys",,"Visual Surveys","Visual Surveys,,"
"fileFormat","archive",,"Archive/Compressed File","Archive/Compressed File,,"
"fileFormat","audio",,"Audio","Audio,,"
"fileFormat","csv",,"CSV (Comma-Separated Values)","CSV (Comma-Separated Values),,"
"fileFormat","dbase",,"dBase","dBase,,"
"fileFormat","shape",,"ESRI Shapefile","ESRI Shapefile,,"
"fileFormat","filemakerpro",,"FileMaker Pro","FileMaker Pro,,"
"fileFormat","foxpro",,"FoxPro","FoxPro,,"
"fileFormat","h2",,"H2","H2,,"
"fileFormat","image",,"Image","Image,,"
"fileFormat","imbdb2",,"IMB DB2","IMB DB2,,"
"fileFormat","libreofficebase",,"LibreOffice Base","LibreOffice Base,,"
"fileFormat","access",,"Microsoft Access","Microsoft Access,,"
"fileFormat","excel",,"Microsoft Excel","Microsoft Excel,,"
"fileFormat","sqlServer",,"Microsoft SQL Server","Microsoft SQL Server,,"
"fileFormat","doc",,"Microsoft Word","Microsoft Word,,"
"fileFormat","mysql",,"MySQL","MySQL,,"
"fileFormat","oracle",,"Oracle","Oracle,,"
"fileFormat","other",,"Other","Other,,"
"fileFormat","otherdatabase",,"Other Database","Other Database,,"
"fileFormat","othergis",,"Other GIS","Other GIS,,"
"fileFormat","otherspreadsheet",,"Other Spreadsheet","Other Spreadsheet,,"
"fileFormat","othertext",,"Other Text","Other Text,,"
"fileFormat","pdf",,"PDF","PDF,,"
"fileFormat","postgres",,"PostgreSQL","PostgreSQL,,"
"fileFormat","sqlite",,"SQLite","SQLite,,"
"fileFormat","video",,"Video","Video,,"
"floraGroup","Algae",,"Algae","Algae,,"
"floraGroup","Cryptogams",,"Cryptogams","Cryptogams,,"
"floraGroup","Cycads",,"Cycads","Cycads,,"
"floraGroup","Forbs",,"Forbs","Forbs,,"
"floraGroup","Introduced Plants",,"Introduced Plants","Introduced Plants,,"
"floraGroup","Lichens",,"Lichens","Lichens,,"
"floraGroup","Monocots",,"Monocots","Monocots,,"
"floraGroup","Grasses","Monocots","Grasses","Grasses,,"
"floraGroup","Lillies","Monocots","Lillies","Lillies,,"
"floraGroup","Orchids","Monocots","Orchids","Orchids,,"
"floraGroup","Others ","Monocots","Others ","Others ,,"
"floraGroup","Reeds","Monocots","Reeds","Reeds,,"
"floraGroup","Rushes","Monocots","Rushes","Rushes,,"
"floraGroup","Sedges","Monocots","Sedges","Sedges,,"
"floraGroup","Vines ","Monocots","Vines ","Vines ,,"
"floraGroup","Mosses",,"Mosses","Mosses,,"
"floraGroup","Pest Plants",,"Pest Plants","Pest Plants,,"
"floraGroup","Shrubs",,"Shrubs","Shrubs,,"
"floraGroup","Medium 0.25m - 2m","Shrubs","Medium 0.25m - 2m","Medium 0.25m - 2m,,"
"floraGroup","Small <0.25m","Shrubs","Small <0.25m","Small <0.25m,,"
"floraGroup","Tall >2m","Shrubs","Tall >2m","Tall >2m,,"
"floraGroup","Trees",,"Trees","Trees,,"
"floraGroup","Conifers","Trees","Conifers","Conifers,,"
"floraGroup","Flowering Trees","Trees","Flowering Trees","Flowering Trees,,"
"floraGroup","Worts",,"Worts","Worts,,"
"floraTechnique","Braun-Blanquet/Revelee",,"Braun-Blanquet/Revelee","Braun-Blanquet/Revelee,,"
"floraTechnique","None",,"None","None,,"
"floraTechnique","Other",,"Other","Other,,"
"floraTechnique","Plot-less Sampling",,"Plot-Less Sampling","Plot-less Sampling,,"
"floraTechnique","Quadrat/Plot/Grid",,"Quadrat/Plot/Grid","Quadrat/Plot/Grid,,"
"licenseType","CC-BY 3.0 Australia",,"Creative Commons Attribution 3.0 Australia","This licence lets others distribute, remix, tweak, and build upon your work, even commercially, as long as they credit you for the original creation. This is the most accommodating of licenses offered. Recommended for maximum dissemination and use of licensed materials.,,"
"licenseType","TERN-BY 1.0",,"Tern Attribution (TERN-BY) Data Licence V1.0","This licence is based on the Creative Commons v3.0 standards but have been modified to protect those items of research data which may not be subject to copyright. The TERN Attribution Licence (TERN-BY) lets others distribute, remix, and build upon a work, even commercially, provided that they credit the original source and any other nominated parties.  Please refer to the TERN web site (http://tern.org.au/datalicence/TERN-BY/1.0/) for more information about the TERN-BY data license.,,"
"measurement","Derived",,"Derived ","Derived ,,"
"measurement","Derived - Binary Data ","Derived","Derived - Binary Data ","Binary Data  (1/0, Yes/No, True/False),,"
"measurement","Derived - Categorical Data ","Derived","Derived - Categorical Data ","Categorical Data  ( i.e., Classes such as the Braun-Blanquet cover abundance scale, blood type, age classes),,"
"measurement","Derived - Continuous Data ","Derived","Derived - Continuous Data ","Continuous Data (Numbers that are real with decimal values, e.g., temperature, height, weight),,"
"measurement","Derived - Count Data ","Derived","Derived - Count Data ","Count Data  (Positive numbers 1,2,3..),,"
"measurement","Derived - Ordinal Data ","Derived","Derived - Ordinal Data ","Ordinal Data  (Relative score used especially for ranking information),,"
"measurement","None",,"None","None,,"
"measurement","Other",,"Other","Other,,"
"measurement","Raw Observations",,"Raw Observations","Raw Observations,,"
"measurement","Raw Observations - Binary Data","Raw Observations","Raw Observations - Binary Data","Binary Data  (1/0, Yes/No, True/False),,"
"measurement","Raw Observations - Categorical Data","Raw Observations","Raw Observations - Categorical Data","Categorical Data  ( i.e., Classes such as the Braun-Blanquet cover abundance scale, blood type, age classes),,"
"measurement","Raw Observations - Continuous Data","Raw Observations","Raw Observations - Continuous Data","Continuous Data (numbers that are real with decimal values, e.g., temperature, height, weight),,"
"measurement","Raw Observations - Count Data","Raw Observations","Raw Observations - Count Data","Count Data  (Positive Numbers 1,2,3..),,"
"measurement","Raw Observations - Ordinal Data","Raw Observations","Raw Observations - Ordinal Data","Ordinal Data  (Relative score used especially for ranking information),,"
"measurementTheme","Abundance",,"Abundance","Abundance,,"
"measurementTheme","Biomass",,"Biomass","Biomass,,"
"measurementTheme","Density",,"Density","Density,,"
"measurementTheme","Dispersal",,"Dispersal","Dispersal,,"
"measurementTheme","(Dis)Similarity",,"(Dis)Similarity","(Dis)Similarity,,"
"measurementTheme","Diversity",,"Diversity","Diversity,,"
"measurementTheme","Dominance",,"Dominance","Dominance,,"
"measurementTheme","Ecophysiology",,"Ecophysiology","Ecophysiology,,"
"measurementTheme","Functional Connectivity",,"Functional Connectivity","Functional Connectivity,,"
"measurementTheme","Geographical Distribution",,"Geographical Distribution","Geographical Distribution,,"
"measurementTheme","Landscape Elements",,"Landscape Elements","Landscape Elements,,"
"measurementTheme","Location",,"Location","Location"
"measurementTheme","Microsatellite locus allele",,"Microsatellite locus allele","Microsatellite locus allele"
"measurementTheme","Morphology",,"Morphology","Morphology,,"
"measurementTheme","None",,"None","None,,"
"measurementTheme","Other",,"Other","Other,,"
"measurementTheme","Population Size",,"Population Size","Population Size,,"
"measurementTheme","Population Structure",,"Population Structure","Population Structure,,"
"measurementTheme","Presence",,"Presence","Presence"
"measurementTheme","Presence/Absence",,"Presence/Absence","Presence/Absence,,"
"measurementTheme","Richness",,"Richness","Richness,,"
"measurementTheme","Stream Elements",,"Stream Elements","Stream Elements,,"
"measurementTheme","Stream Processes",,"Stream Processes","Stream Processes,,"
"measurementTheme","Stream Structure",,"Stream Structure","Stream Structure,,"
"measurementTheme","Structural Connectivity",,"Structural Connectivity","Structural Connectivity,,"
"otherMaterials","Algorithms",,"Algorithms","Algorithms,,"
"otherMaterials","databaseManual",,"Database Manual","Database Manual,,"
"otherMaterials","databaseSchema",,"Database Schema","Database Schema,,"
"otherMaterials","derived Spatial Layers",,"Derived Spatial Layers","Derived Spatial Layers,,"
"otherMaterials","fieldManual",,"Field Manual","Field Manual,,"
"otherMaterials","mathematical Equations",,"Mathematical Equations","Mathematical Equations,,"
"otherMaterials","none",,"None","None,,"
"otherMaterials","other",,"Other","Other,,"
"otherMaterials","patent",,"Patent","Patent,,"
"otherMaterials","publishedPaper",,"Published Paper","Published Paper,,"
"otherMaterials","publishedReport",,"Published Report","Published Report,,"
"researchProgramme","",,,",,"
"researchProgramme","Future Farm Industries CRC Ltd",,"Future Farm Industries CRC Ltd","Future Farm Industries CRC Ltd"
"researchProgramme","TERN Eco-informatics",,"TERN Eco-informatics","TERN Eco-informatics"
"resourceIdentifierType","ark",,"Ark Persistent Identifier Scheme","Ark Persistent Identifier Scheme,,"
"resourceIdentifierType","arc",,"Australian Research Council Identifier","Australian Research Council Identifier,,"
"resourceIdentifierType","doi",,"DOI","DOI,,"
"resourceIdentifierType","AU-ANL:PEAU",,"National Library Of Australia Identifier","National Library Of Australia Identifier,,"
"resourceIdentifierType","None",,"None","None,,"
"rifcsIdentifierType","doi",,"Digital Object Identifier","Digital Object Identifier,,"
"rifcsIdentifierType","handle",,"Handle System Identifier","Handle System Identifier,,"
"rifcsIdentifierType","infouri",,"'Info' Uri Scheme","'Info' Uri Scheme,,"
"rifcsIdentifierType","isil",,"International Standard Identifier For Libraries","International Standard Identifier For Libraries,,"
"rifcsIdentifierType","isbn",,"ISBN","ISBN,,"
"rifcsIdentifierType","none",,"None","None,,"
"rifcsIdentifierType","other",,"Other","Other,,"
"rifcsIdentifierType","purl",,"Persistent Uniform Resource Locator","Persistent Uniform Resource Locator,,"
"rifcsIdentifierType","uri",,"Uniform Resource Identifier","Uniform Resource Identifier,,"
"rifcsIdentifierType","local",,"Unique Identifier Within A Local Context","Unique Identifier Within A Local Context,,"
"rifcsIdentifierType","url",,"URL","URL,,"
"samplingDesign","Before-After, Control Impact (BACI)",,"Before-After, Control Impact (BACI)","Before-After, Control Impact (BACI),,"
"samplingDesign","Common garden experiment",,"Common garden experiment","Common garden experiment"
"samplingDesign","Completely Randomised",,"Completely Randomised","Completely Randomised,,"
"samplingDesign","Factorial Designs",,"Factorial Designs","Factorial Designs,,"
"samplingDesign","Gradient Designs",,"Gradient Designs","Gradient Designs,,"
"samplingDesign","None",,"None","None,,"
"samplingDesign","Opportunistic Sampling",,"Opportunistic Sampling","Opportunistic Sampling,,"
"samplingDesign","Other",,"Other","Other,,"
"samplingDesign","Power Analyses",,"Power Analyses","Power Analyses,,"
"samplingDesign","Randomised Complete Block",,"Randomised Complete Block","Randomised Complete Block,,"
"samplingDesign","Randomised Line Transect",,"Randomised Line Transect","Randomised Line Transect"
"samplingDesign","Repeated Measures",,"Repeated Measures","Repeated Measures,,"
"samplingDesign","Self-selected (Landscape Scale) Sampling",,"Self-selected (Landscape Scale) Sampling","Self-selected (Landscape Scale) Sampling,,"
"samplingDesign","Systematic Sampling",,"Systematic Sampling","Systematic Sampling,,"
"spatialScale","Biome",,"Biome","Biome,,"
"spatialScale","Continental",,"Continental","Continental,,"
"spatialScale","Global",,"Global","Global,,"
"spatialScale","IBRA",,"IBRA","IBRA,,"
"spatialScale","Landscape",,"Landscape","Landscape,,"
"spatialScale","Local",,"Local","Local,,"
"spatialScale","Regional",,"Regional","Regional,,"
"spatialScale","Sub-IBRA",,"Sub-IBRA","Sub-IBRA,,"
"threatsPressures","Agrochemicals",,"Agrochemicals","Agrochemicals,,"
"threatsPressures","Altered Water Flows",,"Altered Water Flows","Altered Water Flows,,"
"threatsPressures","Changed Hydrology",,"Changed Hydrology","Changed hydrology,,"
"threatsPressures","Climate Change",,"Climate Change","Climate Change,,"
"threatsPressures","Exotic Animal Species",,"Exotic Animal Species","Exotic Animal Species,,"
"threatsPressures","Exotic Plant Species",,"Exotic Plant Species","Exotic Plant Species,,"
"threatsPressures","Fire Regimes",,"Fire Regimes","Fire Regimes,,"
"threatsPressures","Habitat Fragmentation",,"Habitat Fragmentation","Habitat Fragmentation,,"
"threatsPressures","Interacting Pressures",,"Interacting Pressures","Interacting Pressures,,"
"threatsPressures","Invasive Animal Species",,"Invasive Animal Species","Invasive Animal Species,,"
"threatsPressures","Invasive Plant Species",,"Invasive Plant Species","Invasive Plant Species,,"
"threatsPressures","Natural Resource Use",,"Natural Resource Use","Natural Resource Use,,"
"threatsPressures","None",,"None","None,,"
"threatsPressures","Other",,"Other","Other,,"
"threatsPressures","Pollution",,"Pollution","Pollution,,"
"threatsPressures","Salinity",,"Salinity","Salinity,,"
"threatsPressures","Soil Erosion",,"Soil Erosion","Soil Erosion,,"
"threatsPressures","Water Extraction",,"Water Extraction","Water extraction,,"
"title","Assoc Prof",,"Assoc Prof","Assoc Prof,,"
"title","Dr",,"Dr","Dr,,"
"title","Miss",,"Miss","Miss,,"
"title","Mr",,"Mr","Mr,,"
"title","Mrs",,"Mrs","Mrs,,"
"title","Ms",,"Ms","Ms,,"
"title","Prof",,"Prof","Prof,,"
